STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,POLLUTANT,Pollutant,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period,DECIMALS,Decimals,CONVERSION_TYPE,Conversion type
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),Air emissions - Greenhouse gas emissions Inventories,I,AUS,Australia,A,Annual,GHG,Greenhouse gases,ENER_TRANS,Transport,PT_EM_GHG,Percentage of greenhouse gas emissions,2022,,17.22918,,A,Normal value,0,Units,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),Air emissions - Greenhouse gas emissions Inventories,I,BEL,Belgium,A,Annual,GHG,Greenhouse gases,IND_PROC,Industrial processes and product use,T_CO2E,Tonnes of CO2-equivalent,2022,,16863.06,,A,Normal value,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),Air emissions - Greenhouse gas emissions Inventories,I,CHE,Switzerland,A,Annual,GHG,Greenhouse gases,ENER_MANUF,Manufacturing industries and construction,PT_EM_GHG,Percentage of greenhouse gas emissions,2022,,10.15831,,A,Normal value,0,Units,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),Air emissions - Greenhouse gas emissions Inventories,I,CHE,Switzerland,A,Annual,GHG,Greenhouse gases,_T,"Total emissions excluding land use, land-use change and forestry",KG_CO2E_PS,Kilogrammes of CO2-equivalent per person,2022,,4.743798,,A,Normal value,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),Air emissions - Greenhouse gas emissions Inventories,I,DNK,Denmark,A,Annual,GHG,Greenhouse gases,ENER_IND,Energy industries,PT_EM_GHG,Percentage of greenhouse gas emissions,2022,,19.59574,,A,Normal value,0,Units,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),Air emissions - Greenhouse gas emissions Inventories,I,ESP,Spain,A,Annual,GHG,Greenhouse gases,IND_PROC,Industrial processes and product use,T_CO2E,Tonnes of CO2-equivalent,2022,,22549.7,,A,Normal value,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),Air emissions - Greenhouse gas emissions Inventories,I,GBR,United Kingdom,A,Annual,GHG,Greenhouse gases,_T,"Total emissions excluding land use, land-use change and forestry",IX,Index,2022,,56.10763,,E,Estimated value,0,Units,,,2000,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),Air emissions - Greenhouse gas emissions Inventories,I,HRV,Croatia,A,Annual,GHG,Greenhouse gases,_T,"Total emissions excluding land use, land-use change and forestry",KG_CO2E_10P3USD,Kilogrammes of CO2-equivalent per 1 000 US dollars,2022,,0.2093183,,A,Normal value,3,Thousands,Q,Constant prices,2015,,2,Two,PPP,PPP converted
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),Air emissions - Greenhouse gas emissions Inventories,I,ISL,Iceland,A,Annual,GHG,Greenhouse gases,ENER,Energy sector,T_CO2E,Tonnes of CO2-equivalent,2022,,1819.34,,A,Normal value,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),Air emissions - Greenhouse gas emissions Inventories,I,ISR,Israel,A,Annual,GHG,Greenhouse gases,IND_PROC,Industrial processes and product use,T_CO2E,Tonnes of CO2-equivalent,2022,,6968.3954106173,,A,Normal value,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),Air emissions - Greenhouse gas emissions Inventories,I,JPN,Japan,A,Annual,GHG,Greenhouse gases,ENER_MANUF,Manufacturing industries and construction,PT_EM_GHG,Percentage of greenhouse gas emissions,2022,,21.26733,,A,Normal value,0,Units,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),Air emissions - Greenhouse gas emissions Inventories,I,JPN,Japan,A,Annual,GHG,Greenhouse gases,_T,"Total emissions excluding land use, land-use change and forestry",T_CO2E,Tonnes of CO2-equivalent,2022,,1133637.694,,E,Estimated value,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),Air emissions - Greenhouse gas emissions Inventories,I,JPN,Japan,A,Annual,GHG,Greenhouse gases,_T,"Total emissions excluding land use, land-use change and forestry",KG_CO2E_PS,Kilogrammes of CO2-equivalent per person,2022,,9.072964,,E,Estimated value,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),Air emissions - Greenhouse gas emissions Inventories,I,LTU,Lithuania,A,Annual,GHG,Greenhouse gases,T_LULU,"Total emissions including land use, land-use change and forestry",KG_CO2E_10P3USD,Kilogrammes of CO2-equivalent per 1 000 US dollars,2022,,0.1186302,,A,Normal value,3,Thousands,Q,Constant prices,2015,,2,Two,PPP,PPP converted
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),Air emissions - Greenhouse gas emissions Inventories,I,SVK,Slovak Republic,A,Annual,GHG,Greenhouse gases,ENER,Energy sector,T_CO2E,Tonnes of CO2-equivalent,2022,,25612.13,,A,Normal value,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),Air emissions - Greenhouse gas emissions Inventories,I,SVK,Slovak Republic,A,Annual,GHG,Greenhouse gases,ENER_TRANS,Transport,PT_EM_GHG,Percentage of greenhouse gas emissions,2022,,21.0167,,A,Normal value,0,Units,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),Air emissions - Greenhouse gas emissions Inventories,I,USA,United States,A,Annual,GHG,Greenhouse gases,T_LULU,"Total emissions including land use, land-use change and forestry",KG_CO2E_10P3USD,Kilogrammes of CO2-equivalent per 1 000 US dollars,2022,,0.2622948,,E,Estimated value,3,Thousands,Q,Constant prices,2015,,2,Two,PPP,PPP converted
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),Air emissions - Greenhouse gas emissions Inventories,I,AUS,Australia,A,Annual,GHG,Greenhouse gases,ENER,Energy sector,T_CO2E,Tonnes of CO2-equivalent,2022,,396712.1711,,A,Normal value,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),Air emissions - Greenhouse gas emissions Inventories,I,AUT,Austria,A,Annual,GHG,Greenhouse gases,T_LULU,"Total emissions including land use, land-use change and forestry",T_CO2E,Tonnes of CO2-equivalent,2022,,68370.19,,A,Normal value,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),Air emissions - Greenhouse gas emissions Inventories,I,CHE,Switzerland,A,Annual,GHG,Greenhouse gases,_T,"Total emissions excluding land use, land-use change and forestry",T_CO2E,Tonnes of CO2-equivalent,2022,,41630.42,,A,Normal value,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),Air emissions - Greenhouse gas emissions Inventories,I,CZE,Czechia,A,Annual,GHG,Greenhouse gases,T_LULU,"Total emissions including land use, land-use change and forestry",KG_CO2E_10P3USD,Kilogrammes of CO2-equivalent per 1 000 US dollars,2022,,0.2948284,,A,Normal value,3,Thousands,Q,Constant prices,2015,,2,Two,PPP,PPP converted
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),Air emissions - Greenhouse gas emissions Inventories,I,DEU,Germany,A,Annual,GHG,Greenhouse gases,ENER,Energy sector,PT_EM_GHG,Percentage of greenhouse gas emissions,2022,,85.18991,,A,Normal value,0,Units,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),Air emissions - Greenhouse gas emissions Inventories,I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,GHG,Greenhouse gases,_T,"Total emissions excluding land use, land-use change and forestry",IX,Index,2022,,75.79047,,A,Normal value,0,Units,,,2000,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),Air emissions - Greenhouse gas emissions Inventories,I,FRA,France,A,Annual,GHG,Greenhouse gases,ENER_IND,Energy industries,T_CO2E,Tonnes of CO2-equivalent,2022,,40043.18,,A,Normal value,3,Thousands,,,,,2,Two,,
