season,team,logo,offense_completion_percentage,offense_total_yards_gained_pass,offense_total_yards_gained_run,offense_ave_yards_gained_pass,offense_ave_yards_gained_run,offense_total_air_yards,offense_ave_air_yards,offense_total_yac,offense_ave_yac,offense_n_plays_pass,offense_n_plays_run,offense_n_interceptions,offense_n_fumbles_lost_pass,offense_n_fumbles_lost_run,offense_total_epa_pass,offense_total_epa_run,offense_ave_epa_pass,offense_ave_epa_run,offense_total_wpa_pass,offense_total_wpa_run,offense_ave_wpa_pass,offense_ave_wpa_run,offense_success_rate_pass,offense_success_rate_run,defense_completion_percentage,defense_total_yards_gained_pass,defense_total_yards_gained_run,defense_ave_yards_gained_pass,defense_ave_yards_gained_run,defense_total_air_yards,defense_ave_air_yards,defense_total_yac,defense_ave_yac,defense_n_plays_pass,defense_n_plays_run,defense_n_interceptions,defense_n_fumbles_lost_pass,defense_n_fumbles_lost_run,defense_total_epa_pass,defense_total_epa_run,defense_ave_epa_pass,defense_ave_epa_run,defense_total_wpa_pass,defense_total_wpa_run,defense_ave_wpa_pass,defense_ave_wpa_run,defense_success_rate_pass,defense_success_rate_run,points_scored,points_allowed,wins,losses,ties,score_differential,team_name,home_stadium,location,state,lat,long,mascot,live_mascots,conference,division,superbowl_wins,year_est
1999,St. Louis Rams,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/los-angeles-rams.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,0,,,,SoFi Stadium,"Inglewood, California",38.63277778,-90.18861111,Rampage,,NFC,West,2,1937
2000,St. Louis Rams,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/los-angeles-rams.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,0,,,,SoFi Stadium,"Inglewood, California",38.63277778,-90.18861111,Rampage,,NFC,West,2,1937
2001,St. Louis Rams,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/los-angeles-rams.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2,0,,,,SoFi Stadium,"Inglewood, California",38.63277778,-90.18861111,Rampage,,NFC,West,2,1937
2002,St. Louis Rams,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/los-angeles-rams.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,0,,,,SoFi Stadium,"Inglewood, California",38.63277778,-90.18861111,Rampage,,NFC,West,2,1937
2003,St. Louis Rams,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/los-angeles-rams.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4,0,,,,SoFi Stadium,"Inglewood, California",38.63277778,-90.18861111,Rampage,,NFC,West,2,1937
2004,St. Louis Rams,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/los-angeles-rams.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,0,,,,SoFi Stadium,"Inglewood, California",38.63277778,-90.18861111,Rampage,,NFC,West,2,1937
2005,St. Louis Rams,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/los-angeles-rams.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,0,,,,SoFi Stadium,"Inglewood, California",38.63277778,-90.18861111,Rampage,,NFC,West,2,1937
2006,St. Louis Rams,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/los-angeles-rams.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,0,,,,SoFi Stadium,"Inglewood, California",38.63277778,-90.18861111,Rampage,,NFC,West,2,1937
2007,St. Louis Rams,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/los-angeles-rams.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,0,,,,SoFi Stadium,"Inglewood, California",38.63277778,-90.18861111,Rampage,,NFC,West,2,1937
2008,St. Louis Rams,https://raw.githubusercontent.com/evelynyh/misc/main/nfl/los-angeles-rams.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,0,,,,SoFi Stadium,"Inglewood, California",38.63277778,-90.18861111,Rampage,,NFC,West,2,1937
