type,strength,year
Niño,weak,1952
Niño,weak,1953
Niño,weak,1958
Niño,weak,1969
Niño,weak,1976
Niño,weak,1977
Niño,weak,1979
Niño,weak,2004
Niño,weak,2006
Niño,weak,2014
Niño,weak,2018
Niño,moderate,1951
Niño,moderate,1963
Niño,moderate,1968
Niño,moderate,1986
Niño,moderate,1994
Niño,moderate,2002
Niño,moderate,2009
Niño,strong,1957
Niño,strong,1965
Niño,strong,1972
Niño,strong,1987
Niño,strong,1991
Niño,strong,1982
Niño,strong,1997
Niño,strong,2015
Niño,strong,2023
Niña,weak,1954
Niña,weak,1964
Niña,weak,1971
Niña,weak,1974
Niña,weak,1983
Niña,weak,1984
Niña,weak,2000
Niña,weak,2005
Niña,weak,2008
Niña,weak,2016
Niña,weak,2017
Niña,moderate,2022
Niña,moderate,1955
Niña,moderate,1970
Niña,moderate,1995
Niña,moderate,2011
Niña,moderate,2020
Niña,strong,2021
Niña,strong,1973
Niña,strong,1975
Niña,strong,1988
Niña,strong,1998
Niña,strong,1999
Niña,strong,2007
Niña,strong,2010
