X,Y,OBJECTID,GLOBALID,DAMAGE,STRUCTURETYPE
-13146557.6302,4052321.6471,1,da82e80c-ada4-4e58-9a42-07b20e48b868,No Damage,Single Family Residence Multi Story
-13148317.047,4053758.3879,2,a6839b8e-157a-41fb-8aab-b35095b1e4ea,No Damage,Single Family Residence Multi Story
-13148341.3622,4053763.9122,3,1fe4c4eb-8f02-4251-8487-1aaa27e14d25,Affected (1-9%),Single Family Residence Single Story
-13146578.1064148,4052321.98733626,4,db9534b1-cb22-4bef-a29d-1595d191c443,No Damage,Utility Misc Structure
-13146552.7991,4052332.6268,5,f76e2296-7507-4684-8231-68d501ef4fb1,No Damage,Single Family Residence Single Story
-13144773.0446,4050765.207,6,4c35650a-1ebc-49b7-8872-6a4af19c8c2f,No Damage,Single Family Residence Single Story
-13146598.2109,4052313.5663,7,4bacefd9-2959-469e-a8f5-aa70e89c3ba4,No Damage,Single Family Residence Multi Story
-13148349.9434,4053743.0889,8,f1f45836-a180-4141-a202-6e8b4a9beb6a,No Damage,Utility Misc Structure
-13150352.3796,4056261.1409,10,067696f6-c044-485d-89ba-508d82013df8,Destroyed (>50%),Single Family Residence Single Story
-13150480.8649,4056252.2653,11,224a5c01-506f-4254-b386-0b266f61a647,Destroyed (>50%),Single Family Residence Single Story
-13150519.3782,4056316.2786,12,cfb5ef9a-7f43-4d91-a7dc-27516cb987ff,Destroyed (>50%),Single Family Residence Single Story
-13150520.071,4056352.2712,13,4b521bfd-6ec8-401b-be65-e36e3bb975f4,Destroyed (>50%),Single Family Residence Single Story
-13146604.3426,4052338.4371,14,307cdbe6-e89a-46ac-b15a-4712748331e0,No Damage,Single Family Residence Single Story
-13146579.7184,4052331.635,15,c008e037-dbde-4bda-91ef-8229f0b12f6f,No Damage,Utility Misc Structure
-13144721.8511,4050848.0412,16,43dad5ce-e015-47f5-aa43-57d82db04a1d,No Damage,Single Family Residence Single Story
-13144732.8883,4050793.9193,17,44fa49b3-d099-4057-9606-4487f6349704,No Damage,Single Family Residence Single Story
-13146603.8769227,4052382.52605427,18,ba5c0bf8-5902-411e-9a12-c55c9dfbbd0d,Affected (1-9%),Single Family Residence Single Story
-13146578.5684,4052353.1165,19,e01b3aa2-5480-43e7-bcb0-7e79e74d961f,No Damage,Utility Misc Structure
-13146579.4084788,4052376.99335689,20,7aabc087-71a1-4cd1-8c77-a84c1bf77c03,No Damage,Single Family Residence Single Story
-13146605.6763,4052360.9476,21,02ab903e-9b3c-42a2-bf5c-16b786af9f28,No Damage,Single Family Residence Single Story
-13142995.9924,4051752.5328,22,08954358-3b2b-4b9f-850c-c7124606cad3,Destroyed (>50%),Utility Misc Structure
-13142945.9379,4051745.6383,23,b11dbb80-8faa-4a1e-b340-fa67f1619e10,No Damage,Single Family Residence Multi Story
-13143038.1972,4051783.372,24,9992e9b5-c9ae-4a82-ad09-8054fcbde261,Affected (1-9%),Single Family Residence Multi Story
-13143044.8798,4051836.8822,25,a6668d02-7eec-4b3f-ad4b-559395addb3b,Minor (10-25%),Single Family Residence Single Story
-13148372.9367,4053763.4569,26,ee194b6d-07b3-4e2c-bf1a-574cf5b93270,No Damage,Single Family Residence Single Story
-13148368.0284,4053740.8158,27,44de8beb-b086-47d3-b52d-7e5388bdfe8f,No Damage,Utility Misc Structure
-13144764.2401,4050871.2822,28,63d338a5-c6a2-4f65-b95e-3c6790e5ac78,No Damage,Single Family Residence Single Story
-13148288.6499,4053767.8501,29,72ce6a3b-c7f7-46fb-abae-828622b63e72,No Damage,Single Family Residence Single Story
-13148277.6675,4053739.8132,30,788e20b8-d299-43b7-ab58-6ee2666102da,No Damage,Utility Misc Structure
-13148684.0019,4053761.8279,31,71a84a2b-ff5c-4be1-9c8c-c9b8e6e8fee1,Destroyed (>50%),Single Family Residence Single Story
-13148457.6802,4053754.1583,32,3ba42758-342b-4f16-97ce-1f12c9777768,Destroyed (>50%),Single Family Residence Single Story
-13148488.6888,4053760.2516,33,f1fc1fca-04e2-4c79-a209-809537fdc5bc,Destroyed (>50%),Single Family Residence Single Story
-13148477.7634,4053740.0895,34,48ceb78e-d679-43f2-baa2-10584bf07205,Destroyed (>50%),Utility Misc Structure
-13148516.572,4053759.2244,35,a902a721-fe59-4736-9534-b0a016107887,Destroyed (>50%),Single Family Residence Single Story
-13148506.2191,4053738.8372,36,c37c2afb-687f-4c31-9748-5b1254762bef,Destroyed (>50%),Utility Misc Structure
-13148532.629,4053741.5376,37,64cb52d7-bddb-47bf-acbd-c376e22d74ac,No Damage,Utility Misc Structure
-13148543.1216,4053762.6561,38,82a1e9e1-8c71-4dec-87ea-11578bd137b4,No Damage,Single Family Residence Single Story
-13148571.0071,4053760.9067,39,56406883-cf13-41d4-ad40-61e3c14e9f36,Affected (1-9%),Single Family Residence Multi Story
-13153510.737,4054954.5811,40,2df73a22-f9de-443c-8ad4-bee3a4efbcae,Destroyed (>50%),Single Family Residence Single Story
-13153503.5379,4054875.6393,41,ab319bec-b84e-4572-b729-6553788b9f2c,Destroyed (>50%),Single Family Residence Single Story
-13153519.6261,4054879.7618,42,6f2cc961-c014-46bd-95f2-8b71fc238724,Destroyed (>50%),Single Family Residence Single Story
-13153512.0656,4054892.7661,43,07b2836d-0d6b-4acc-9d57-c955eea14715,Destroyed (>50%),Utility Misc Structure
-13153508.7502,4054910.4186,44,6383e383-7d35-475b-be1c-272a43d57a6c,Destroyed (>50%),Single Family Residence Single Story
-13148115.7382,4054104.5494,45,724bacd4-3dad-463c-81a4-b8373515686e,No Damage,Utility Misc Structure
-13148109.8007,4054098.9568,46,9964f11c-e259-4ef5-a566-bf8ce96e85be,No Damage,Single Family Residence Single Story
